stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2A-200_Guelph Central Station,200,Guelph Central Station.,,43.545180,-80.246050,,,,
2A-202_KFC on Wellington St.,202,KFC on Wellington St.,,43.540815,-80.245214,,,,
2A-203_Gordon St. at Water St.,203,Gordon St. at Water St.,,43.53833,-80.245214,,,,
2A-204_Gordon St. at Forbes Ave.,204,Gordon St. at Forbes Ave.,,43.537154,-80.239813,,,,
2A-205_Gordon St. at Dean Ave.,205,Gordon St. at Dean Ave.,,43.534009,-80.235469,,,,
2A-206_Gordon St. at College Ave.,206,Gordon St. at College Ave.,,43.531512,-80.231928,,,,
2A-207_University Centre,207,University Centre,,43.529922,-80.225029,,,,
2A-208_Stone Rd. W. at Edinburgh Rd. S.,208,Stone Rd. W. at Edinburgh Rd. S.,,43.520363,-80.233352,,,,
2A-209_Stone Rd. W. at Stone Rd Mall,209,Stone Rd. W. at Stone Rd Mall,,43.518846,-80.239222,,,,
2A-210_659 Wellington St. W.,210,659 Wellington St. W.,,43.522836,-80.267662,,,,
2A-211_Fife Rd. at Wellington St. W.,211,Fife Rd. at Wellington St. W.,,43.517730,-80.270448,,,,
2A-212_Fife Rd. at Gateway Dr.,212,Fife Rd. at Gateway Dr.,,43.515674,-80.273254,,,,
2A-213_Fife Rd. at Deerfield Pl.,213,Fife Rd. at Deerfield Pl.,,43.513766,-80.275861,,,,
2A-214_Elmira Rd. at West Acres Dr.,214,Elmira Rd. at West Acres Dr.,,43.516248,-80.278614,,,,
2A-215_254 Elmira Rd.,215,254 Elmira Rd.,,43.518995,-80.282143,,,,
2A-216_Elmira Rd. at Stephanie Dr.,216,Elmira Rd. at Stephanie Dr.,,43.521123,-80.287336,,,,
2A-217_Elmira Rd. at Zehrs,217,Elmira Rd. at Zehrs,,43.522818,-80.291611,,,,
2A-218_Elmira Rd. at West End Community Centre,218,Elmira Rd. at West End Community Centre,,43.523519,-80.293107,,,,
2A-219_Willow Rd. at Flaherty Dr.,219,Willow Rd. at Flaherty Dr.,,43.527343,-80.296881,,,,
2A-220_Imperial Rd. N. at Willow Rd.,220,Imperial Rd. N. at Willow Rd.,,43.528815,-80.292010,,,,
2A-221_Imperial Rd. N. at Dunhill Cres.,221,Imperial Rd. N. at Dunhill Cres.,,43.531740,-80.294166,,,,
2A-222_Imperial Rd. N. at Westwood Rd.,222,Imperial Rd. N. at Westwood Rd.,,43.535013,-80.294655,,,,
2A-223_Imperial Rd. N. at Speedvale Ave. W.,223,Imperial Rd. N. at Speedvale Ave. W.,,43.537331,-80.297226,,,,
2A-224_ARC Industries,224,ARC Industries,,43.539986,-80.294035,,,,
2A-225_Royal Rd. at Massey Rd. (Guelph Tool),225,Royal Rd. at Massey Rd. (Guelph Tool),,43.543038,-80.298273,,,,
2A-226_Massey Rd. at Imperial Rd.,226,Massey Rd. at Imperial Rd.,,43.540892,-80.301824,,,,
2A-227_Imperial Rd. N. at Woodlawn Rd. W.,227,Imperial Rd. N. at Woodlawn Rd. W.,,43.543610,-80.305658,,,,
2A-228_Woodlawn Rd. W. at Royal Rd.,228,Woodlawn Rd. W. at Royal Rd.,,43.545962,-80.303449,,,,
2A-229_Woodlawn Rd. W. at Regal Rd.,229,Woodlawn Rd. W. at Regal Rd.,,43.548807,-80.299496,,,,
2A-230_Woodlawn Rd. W. at Silvercreek Pkwy N,230,Woodlawn Rd. W. at Silvercreek Pkwy N,,43.551565,-80.295489,,,,
2A-231_Woodlawn Rd. W. at Dawson Rd.,231,Woodlawn Rd. W. at Dawson Rd.,,43.556114,-80.289684,,,,
2A-232_Woodlawn Rd. W. at Edinburgh Rd. N.,232,Woodlawn Rd. W. at Edinburgh Rd. N.,,43.558558,-80.286155,,,,
2A-233_Woodlawn Rd. W. at Nicklin Rd.,233,Woodlawn Rd. W. at Nicklin Rd.,,43.560592,-80.283493,,,,
2A-234_Smart Centre Guelph,234,Smart Centre Guelph,,43.564044,-80.281632,,,,
2A-235_Woolwich St. at Marilyn Dr.,235,Woolwich St. at Marilyn Dr.,,43.562030,-80.273414,,,,
2A-236_Woolwich St. at Evergreen,236,Woolwich St. at Evergreen,,43.559760,-80.270265,,,,
2A-237_Woolwich St. at Mac Ave.,237,Woolwich St. at Mac Ave.,,43.556809,-80.266247,,,,
2A-238_Woolwich St. at Tiffany St.,238,Woolwich St. at Tiffany St.,,43.552521,-80.260325,,,,
2A-239_Woolwich St. at London Rd.,239,Woolwich St. at London Rd.,,43.549780,-80.256575,,,,
2A-240_160 Woolwich,240,160 Woolwich,,43.548027,-80.25168,,,,
2A-241_Wyndham at IF Shoe Store,241,Wyndham at IF Shoe Store,,43.545578,-80.249017,,,,
2A-242_Guelph Central Station,242,Guelph Central Station,,43.545180,-80.246050,,,,
Route2B-0250_Guelph Central Station,0250,Guelph Central Station,,43.545180,-80.246050,,,,
Route2B-0251_Wyndham St. at Bank of Nova Scotia,0251,Wyndham St. at Bank of Nova Scotia,,43.546441,-80.249537,,,,
Route2B-0252_Woolwich St. at Cardigan St.,0252,Woolwich St. at Cardigan St.,,43.548158,-80.251279,,,,
Route2B-0253_Woolwich St. at Norwich St.,0253,Woolwich St. at Norwich St.,,43.548768,-80.254949,,,,
Route2B-0254_Woolwich St. at London Rd.,0254,Woolwich St. at London Rd.,,43.550097,-80.256667,,,,
Route2B-0255_Woolwich St. at Kerr St.,0255,Woolwich St. at Kerr St.,,43.551876,-80.259149,,,,
