route_id,service_id,trip_id,trip_headsign,block_id,shape_id
2A,weekday,2A_weekday_1_bidirectional,Route2A-West Loop Clockwise,,2A-BELOW-2A
2A,weekday,2A_weekday_2_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_3_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_4_bidirectional,Route2A-West Loop Clockwise,,2A-BELOW-2A
2A,weekday,2A_weekday_5_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_6_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_7_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_8_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_9_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_10_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_11_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_12_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_13_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_14_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_15_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_16_bidirectional,Route2A-West Loop Clockwise,,2A-ABOVE-2A
2A,weekday,2A_weekday_17_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_18_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_19_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_20_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_21_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_22_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_23_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_24_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_25_bidirectional,Route2A-West Loop Clockwise,,2A-BELOW-2A
2A,weekday,2A_weekday_26_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_27_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_28_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_29_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_30_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_31_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_32_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_33_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_34_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_35_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_36_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_37_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_38_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_39_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_40_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_41_bidirectional,Route2A-West Loop Clockwise,,2A-ABOVE-2A
2A,weekday,2A_weekday_42_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_43_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_44_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_45_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_46_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_47_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_48_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_49_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_50_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_51_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_52_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_53_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_54_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,weekday,2A_weekday_55_bidirectional,Route2A-West Loop Clockwise,,2A-ABOVE-2A
2A,saturday,2A_saturday_1_bidirectional,Route2A-West Loop Clockwise,,2A-BELOW-2A
2A,saturday,2A_saturday_2_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_3_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_4_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_5_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_6_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_7_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_8_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_9_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_10_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_11_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_12_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_13_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_14_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_15_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_16_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_17_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_18_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_19_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_20_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_21_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_22_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_23_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_24_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_25_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_26_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_27_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_28_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_29_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_30_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
2A,saturday,2A_saturday_31_bidirectional,Route2A-West Loop Clockwise,,2A-FULL
